timestamp,market_slug,side,entry_price,shares,cost,sl_price,fill_price,result,pnl,session_pnl,trade_num,win_rate,window_start,window_end,entry_threshold,entry_ceiling,bet_size
2026-03-16T08:35:00.738724+00:00,btc-updown-5m-1773649800,DOWN,0.955,163.73,155.5435,0.64,0.955,WIN (DOWN),8.19,8.19,1,100.0,70,30,0.82,0.95,200
2026-03-16T08:39:46.393498+00:00,btc-updown-5m-1773650100,UP,0.845,236.656875,198.791775,0.555,0.845,STOP LOSS,-67.45,-59.26,2,50.0,70,30,0.82,0.95,200
2026-03-16T08:45:00.707889+00:00,btc-updown-5m-1773650400,DOWN,0.835,239.5,198.785,0.64,0.835,WIN (DOWN),40.72,-18.55,3,66.7,70,30,0.82,0.95,200
2026-03-16T08:50:00.706906+00:00,btc-updown-5m-1773650700,UP,0.9055,220.9,201.019,0.64,0.9055,WIN (UP),19.88,1.34,4,75.0,70,30,0.82,0.95,200
2026-03-16T08:55:00.710569+00:00,btc-updown-5m-1773651000,UP,0.845,236.675,198.80700000000002,0.64,0.845,WIN (UP),37.87,39.2,5,80.0,70,30,0.82,0.95,200
2026-03-16T09:00:00.782802+00:00,btc-updown-5m-1773651300,DOWN,0.8300000000000001,189.24,157.0692,0.64,0.8300000000000001,WIN (DOWN),32.17,71.37,6,83.3,70,30,0.82,0.95,200
2026-03-16T09:04:44.329778+00:00,btc-updown-5m-1773651600,DOWN,0.855,5.0,4.25,0.635,0.855,STOP LOSS,-1.08,70.3,7,71.4,70,30,0.82,0.95,200
2026-03-16T09:14:40.341575+00:00,btc-updown-5m-1773652200,UP,0.835,5.88,4.8804,0.64,0.835,STOP LOSS,-1.12,69.18,8,62.5,70,30,0.82,0.95,200
2026-03-16T09:20:00.764468+00:00,btc-updown-5m-1773652500,UP,0.845,41.36,34.742399999999996,0.64,0.845,WIN (UP),6.62,75.8,9,66.7,70,30,0.82,0.95,200
2026-03-16T09:24:54.105056+00:00,btc-updown-5m-1773652800,DOWN,0.835,93.351763,77.48196329,0.605,0.835,STOP LOSS,-21.0,54.8,10,60.0,70,30,0.82,0.95,200
2026-03-16T09:34:05.046952+00:00,btc-updown-5m-1773653400,DOWN,0.955,29.76,28.272,0.635,0.955,STOP LOSS,-9.37,45.42,11,54.5,70,30,0.82,0.95,200
2026-03-16T09:45:00.717592+00:00,btc-updown-5m-1773654000,UP,0.855,145.05,123.2925,0.64,0.855,WIN (UP),21.76,67.18,12,58.3,70,30,0.82,0.95,200
2026-03-16T09:54:30.083238+00:00,btc-updown-5m-1773654600,DOWN,0.855,0.41,0.3485,0.61,0.855,STOP LOSS,-0.1,67.08,13,53.8,70,30,0.82,0.95,200
2026-03-16T10:00:00.884467+00:00,btc-updown-5m-1773654900,DOWN,0.835,50.649404,42.039005319999994,0.64,0.835,WIN (DOWN),8.61,75.69,14,57.1,70,30,0.82,0.95,200
2026-03-16T10:10:00.715929+00:00,btc-updown-5m-1773655500,DOWN,0.9450000000000001,211.6,201.01999999999998,0.64,0.9450000000000001,WIN (DOWN),10.58,86.27,15,60.0,70,30,0.82,0.95,200
2026-03-16T10:19:56.008758+00:00,btc-updown-5m-1773656100,UP,0.875,228.6,201.168,0.635,0.875,STOP LOSS,-56.01,30.26,16,56.2,70,30,0.82,0.95,200
2026-03-16T10:29:25.921035+00:00,btc-updown-5m-1773656700,DOWN,0.8300000000000001,241.0,200.03,0.625,0.8300000000000001,STOP LOSS,-49.41,-19.14,17,52.9,70,30,0.82,0.95,200
2026-03-16T10:35:00.956500+00:00,btc-updown-5m-1773657000,DOWN,0.955,65.0,61.75,0.64,0.955,WIN (DOWN),3.25,-15.89,18,55.6,70,30,0.82,0.95,200
2026-03-16T10:44:59.692165+00:00,btc-updown-5m-1773657600,UP,0.935,213.9,201.066,0.61,0.935,STOP LOSS,-70.59,-86.48,19,52.6,70,30,0.82,0.95,200
2026-03-16T11:05:00.748879+00:00,btc-updown-5m-1773658800,DOWN,0.865,231.2,198.832,0.64,0.865,WIN (DOWN),32.37,-54.11,20,55.0,70,30,0.82,0.95,200
2026-03-16T11:10:00.838158+00:00,btc-updown-5m-1773659100,DOWN,0.835,130.55,108.35650000000001,0.64,0.835,WIN (DOWN),22.19,-31.92,21,57.1,70,30,0.82,0.95,200
2026-03-16T11:20:00.925496+00:00,btc-updown-5m-1773659700,UP,0.925,208.16,193.58880000000002,0.64,0.925,WIN (UP),14.57,-17.35,22,59.1,70,30,0.82,0.95,200
2026-03-16T11:30:00.779310+00:00,btc-updown-5m-1773660300,DOWN,0.835,239.494116,198.78011628,0.64,0.835,WIN (DOWN),40.71,23.37,23,60.9,70,30,0.82,0.95,200
2026-03-16T11:35:00.965575+00:00,btc-updown-5m-1773660600,UP,0.885,127.650908,113.60930812000001,0.64,0.885,WIN (UP),14.04,37.41,24,62.5,70,30,0.82,0.95,200
2026-03-16T11:49:24.353375+00:00,btc-updown-5m-1773661500,DOWN,0.8300000000000001,84.574704,70.19700431999999,0.64,0.8300000000000001,STOP LOSS,-16.07,21.34,25,60.0,70,30,0.82,0.95,200
2026-03-16T11:55:05.684776+00:00,btc-updown-5m-1773661800,DOWN,0.865,231.2,198.832,0.64,0.865,WIN (DOWN),32.37,53.71,26,61.5,70,30,0.82,0.95,200
2026-03-16T12:00:00.728980+00:00,btc-updown-5m-1773662100,DOWN,0.8300000000000001,241.0,200.03,0.64,0.8300000000000001,WIN (DOWN),40.97,94.68,27,63.0,70,30,0.82,0.95,200
2026-03-16T14:14:42.210710+00:00,btc-updown-5m-1773670200,DOWN,0.875,5.3,4.664,0.695,0.875,STOP LOSS,-0.98,-0.98,1,0.0,80,30,0.86,0.92,200
2026-03-16T14:24:49.585410+00:00,btc-updown-5m-1773670800,DOWN,0.89,224.7,199.983,0.635,0.89,STOP LOSS,-57.3,-57.3,1,0.0,80,30,0.86,0.92,200
2026-03-16T14:45:00.800332+00:00,btc-updown-5m-1773672000,DOWN,0.885,45.0,40.05,0.57,0.885,WIN (DOWN),4.95,4.95,1,100.0,80,30,0.86,0.92,200
